sta_key
"10,0"
"10,20"
"10,40"
"10,60"
"10,80"
"10,100"
"20,0"
"20,20"
"20,40"
"20,60"
"20,80"
"20,100"
"20,120"
"30,20"
"30,40"
"30,60"
"30,80"
"30,100"
"30,120"
"30,140"
"40,40"
"40,60"
"40,80"
"40,100"
"40,120"
"40,140"
"50,100"
"50,120"
"50,140"
"60,140"
"60,160"
"60,180"
"60,200"
"70,140"
"70,160"
"70,180"
"70,200"
"80,140"
"80,160"
"80,180"
"80,200"
"90,120"
"90,140"
"90,160"
"90,180"
"90,200"
"100,20"
"100,40"
"100,60"
"100,80"
"100,100"
"100,120"
"100,140"
"100,160"
"100,180"
"100,200"
"110,0"
"110,20"
"110,40"
"110,60"
"110,80"
"110,100"
"110,120"
"110,140"
"110,160"
"110,180"
"120,0"
"120,20"
"120,40"
"120,60"
"120,80"
"120,100"
"120,120"
"120,140"
"120,160"
"130,-20"
"130,0"
"130,20"
"130,40"
"130,60"
"130,80"
"130,100"
"130,120"
"130,140"
"140,-20"
"140,0"
"140,20"
"140,40"
"140,60"
"140,80"
"140,100"
"140,120"
"150,-20"
"150,0"
"150,20"
"150,40"
"150,60"
"150,80"
"150,100"
"160,-40"
"160,-20"
"160,0"
"160,20"
"160,40"
"160,60"
"160,80"
"60,60"
"60,70"
"60,80"
"60,90"
"63.3,60"
"60,100"
"63.3,70"
"63.3,80"
"63.3,90"
"66.7,60"
"63.3,100"
"66.7,70"
"66.7,80"
"66.7,90"
"70,60"
"66.7,100"
"70,70"
"70,80"
"70,90"
"73.3,60"
"70,100"
"73.3,70"
"73.3,80"
"73.3,90"
"76.7,60"
"73.3,100"
"76.7,70"
"76.7,80"
"76.7,90"
"80,60"
"76.7,100"
"80,70"
"80,80"
"80,90"
"83.3,60"
"80,100"
"83.3,70"
"83.3,80"
"83.3,90"
"86.7,60"
"83.3,100"
"86.7,70"
"83.3,110"
"86.7,80"
"86.7,90"
"90,60"
"86.7,100"
"90,70"
"86.7,110"
"90,80"
"90,90"
"93.3,60"
"90,100"
"93.3,70"
"90,110"
"93.3,80"
"90,120"
"93.3,90"
"93.3,100"
"93.3,110"
"93.3,120"
"60,50"
"60,55"
"63.3,50"
"63.3,55"
"66.7,50"
"66.7,55"
"70,50"
"70,55"
"73.3,50"
"73.3,55"
"76.7,50"
"76.7,55"
"83.3,40"
"80,45"
"80,50"
"80,55"
"83.3,35"
"83.3,45"
"83.3,50"
"86.7,30"
"83.3,55"
"86.7,35"
"86.7,40"
"86.7,45"
"90,25"
"86.7,50"
"90,30"
"86.7,55"
"90,35"
"90,40"
"90,45"
"93.3,25"
"90,50"
"93.3,30"
"90,55"
"93.3,35"
"93.3,40"
"93.3,45"
"93.3,50"
"93.3,55"
"60,110"
"70,110"
"80,110"
"55,80"
"55,60"
"55,40"
