starttime,lon,lat,data,temp_nrow,temp_avg_deptheq0,temp_avg_depthlteq20,temp_avg_depthlteq60
1951-05-30T22:46:00Z,-117.525,32.833332,,4,NA,15.669999999999998,14.6975
1951-05-31T04:55:00Z,-114.85833,27.3,,8,NA,16.39,15.327500000000002
1951-05-31T09:31:00Z,-115.473335,26.911667,,5,NA,16.87,16.575999999999997
1951-05-31T15:19:00Z,-113.2,25.941668,,5,15.72,15.483333333333334,14.937999999999999
1951-05-31T15:36:00Z,-116.15,26.636667,,4,NA,17.375,16.6125
1951-05-31T20:56:00Z,-120.40833,33.733334,,5,NA,13.9,13.245999999999999
1951-05-31T21:16:00Z,-113.76667,25.566668,,6,17.48,17.21,16.68
1951-05-31T21:56:00Z,-115.791664,26.053333,,1,NA,19.42,19.42
1951-06-01T02:44:00Z,-114.4,25.241667,,6,16.57,16.425,15.989999999999998
1951-06-01T04:11:00Z,-115.121666,26.393333,,4,NA,17.145000000000003,16.632500000000004
1951-06-01T08:21:00Z,-115.025,24.908333,,5,NA,NA,NA
1951-06-01T13:56:00Z,-114.675,24.316668,,6,18.92,18.885,18.705
1951-06-01T16:36:00Z,-113.905,26.37,,4,NA,15.754999999999999,14.9125
1951-06-01T19:12:00Z,-114.041664,24.65,,6,18.28,18.2325,18.065
1951-06-01T20:16:00Z,-114.121666,26.146667,,3,NA,16.64,16.316666666666666
1951-06-02T00:55:00Z,-113.39167,24.98,,5,17.83,17.68,17.172
1951-06-02T03:26:00Z,-113.083336,25.133333,,6,16.6,16.435,15.885000000000002
1951-06-02T10:41:00Z,-112.708336,24.583334,,4,16.12,15.370000000000001,15.0575
1951-06-02T15:11:00Z,-113.025,24.416666,,5,NA,NA,NA
1951-06-02T20:45:00Z,-113.65833,24.1,,5,18.21,17.92,17.778000000000002
1951-06-03T02:16:00Z,-114.291664,23.758333,,5,19.08,18.906666666666666,18.666
1951-06-04T04:42:00Z,-118.208336,32.5,,1,NA,15.46,15.46
1951-06-04T08:36:00Z,-118.85,32.15,,4,NA,NA,NA
1951-06-04T15:06:00Z,-119.51667,31.808332,,4,NA,13.81,13.187500000000002
1951-06-05T05:55:00Z,-113.183334,22.016666,,5,20.27,20.00333333333333,19.282
1951-06-05T13:46:00Z,-112.566666,22.35,,5,NA,NA,NA
1951-06-05T19:10:00Z,-111.958336,22.7,,5,20.02,19.695000000000004,19.452
1951-06-06T00:36:00Z,-111.333336,23.033333,,6,18.57,18.337500000000002,17.86333333333333
1951-06-06T03:21:00Z,-111.025,23.2,,5,NA,NA,NA
1951-06-06T15:11:00Z,-118.541664,31.608334,,4,NA,15.68,14.7725
1951-06-06T16:00:00Z,-115.65,29.2,,4,NA,NA,NA
1951-06-06T20:06:00Z,-115.96167,29,,3,NA,16.175,15.870000000000001
1951-06-06T20:16:00Z,-117.875,31.966667,,4,NA,15.79,14.8725
1951-06-07T01:27:00Z,-117.275,32.15,,5,NA,NA,NA
1951-06-07T01:57:00Z,-116.7,28.683332,,5,NA,16.926666666666666,16.16
1951-06-07T05:16:00Z,-112.05,24.183332,,5,14.75,14.713333333333335,14.563999999999998
1951-06-07T06:42:00Z,-116.775,31.675,,4,NA,NA,NA
1951-06-07T07:41:00Z,-117.458336,28.355,,3,NA,16.49,16.09
1951-06-07T08:41:00Z,-112.36667,24.016666,,5,17.18,17.0575,16.906
1951-06-07T12:12:00Z,-117.50833,31.333334,,4,NA,16.47,15.852500000000001
1951-06-07T12:16:00Z,-112.683334,23.85,,2,17.2,17.209999999999997,17.209999999999997
1951-06-07T17:11:00Z,-113.325,23.5,,6,NA,NA,NA
1951-06-07T17:57:00Z,-118.125,31.038334,,4,NA,16.04,15.382500000000002
1951-06-07T22:16:00Z,-113.95,23.166666,,5,NA,NA,NA
1951-06-07T23:26:00Z,-118.85,30.7,,4,NA,NA,NA
1951-06-08T03:26:00Z,-113.558334,22.6,,5,18.52,18.386666666666667,17.85
1951-06-08T03:51:00Z,-116.9,27.791666,,4,NA,NA,NA
1951-06-08T09:06:00Z,-112.941666,22.933332,,5,18.69,18.503333333333337,17.868
1951-06-08T10:26:00Z,-116.28333,28.213333,,3,NA,16.64,16.33666666666667
1951-06-08T14:31:00Z,-112.316666,23.266666,,5,NA,NA,NA
1951-06-08T16:16:00Z,-115.6,28.465,,5,NA,15.103333333333333,14.568000000000001
1951-06-08T20:26:00Z,-111.6,23.65,,7,NA,NA,NA
1951-06-08T23:01:00Z,-111.375,23.775,,8,NA,NA,NA
1951-06-09T07:46:00Z,-110.36667,22.791666,,5,18.23,17.95,17.337999999999997
1951-06-09T09:11:00Z,-115.55,27.716667,,3,NA,16.695,16.349999999999998
1951-06-09T12:50:00Z,-115.916664,27.478333,,4,NA,17.51,16.8375
1951-06-09T13:06:00Z,-110.99167,22.466667,,5,20.55,20.33666666666667,19.584
1951-06-09T15:26:00Z,-118.48333,30.066668,,4,NA,16.735,15.965000000000002
1951-06-09T18:11:00Z,-111.63333,22.141666,,5,21.2,21.16,20.282
1951-06-09T19:27:00Z,-116.545,27.238333,,4,NA,17.57,16.64
1951-06-09T22:47:00Z,-117.76667,30.416666,,5,NA,15.389999999999999,14.526
1951-06-09T23:36:00Z,-112.225,21.783333,,6,NA,NA,NA
1951-06-10T05:06:00Z,-117.25,30.7,,4,NA,NA,NA
1951-06-10T05:16:00Z,-111.86667,21.208334,,5,20.18,19.976666666666663,19.26
1951-06-10T08:57:00Z,-116.95,30.85,,4,NA,NA,NA
1951-06-10T11:56:00Z,-111.24167,21.541666,,12,21.485000000000003,21.335,18.671666666666667
1951-06-10T18:36:00Z,-110.625,21.875,,5,NA,NA,NA
1951-06-10T23:56:00Z,-110,22.216667,,6,22.67,21.782500000000002,20.626666666666665
1951-06-11T04:56:00Z,-109.38333,22.55,,8,24.19,23.580000000000002,19.54625
1951-06-15T11:21:00Z,-121.21667,34.908333,,4,NA,12.975000000000001,12.462499999999999
1951-06-15T18:01:00Z,-120.8,34.316666,,4,NA,NA,NA
1951-06-15T21:41:00Z,-121.15,34.15,,4,NA,NA,NA
1951-06-19T10:36:00Z,-119.958336,32.416668,,5,NA,13.843333333333334,13.365999999999998
1951-06-19T16:50:00Z,-119.48333,32.641666,,4,NA,15.08,14.1975
1951-06-19T21:36:00Z,-118.933334,32.908333,,4,NA,15.74,14.6975
1951-06-20T02:44:00Z,-118.39167,33.183334,,4,NA,16.74,15.6425
1951-06-20T09:06:00Z,-117.916664,33.408333,,13,17.31,16.761666666666667,14.931538461538462
1951-06-29T12:53:00Z,-115.39167,25.466667,,4,NA,17.94333333333333,17.7125
1951-06-29T22:11:00Z,-114.76667,25.808332,,4,NA,17.790000000000003,16.9675
1951-06-30T03:26:00Z,-114.125,26.15,,5,NA,NA,NA
1951-06-30T06:57:00Z,-113.808334,26.316668,,3,17.99,17.974999999999998,17.536666666666665
1951-06-30T12:25:00Z,-113.125,25.908333,,9,NA,NA,NA
1951-06-30T17:14:00Z,-113.75833,25.575,,4,NA,15.390000000000002,14.785
1951-06-30T22:58:00Z,-114.4,25.241667,,4,NA,19.650000000000002,18.9775
1951-07-01T04:25:00Z,-114.025,24.666666,,5,NA,NA,NA
1951-07-01T15:35:00Z,-113.075,25.166666,,4,NA,NA,NA
1951-07-02T16:54:00Z,-115.78333,26.033333,,4,NA,17.97,17.14
1951-07-02T22:50:00Z,-116.15,26.641666,,4,NA,NA,NA
1951-07-03T04:15:00Z,-115.50833,26.966667,,4,NA,18.064999999999998,17.0225
1951-07-03T09:24:00Z,-114.85833,27.3,,4,14.74,14.190000000000001,13.3725
1951-07-03T15:11:00Z,-114.9,28.05,,8,NA,NA,NA
1951-07-03T20:09:00Z,-115.55,27.716667,,5,NA,17.14333333333333,16.3
1951-07-04T00:02:00Z,-115.875,27.55,,5,NA,NA,NA
1951-07-04T03:05:00Z,-121.21667,34.908333,,4,NA,13.905,13.092500000000001
1951-07-04T05:25:00Z,-116.525,27.216667,,4,NA,17.259999999999998,16.3125
1951-07-05T17:56:00Z,-119.916664,32.366665,,5,NA,14.676666666666666,13.888
1951-07-05T23:06:00Z,-119.51667,32.6,,4,NA,NA,12.26
1951-07-06T10:46:00Z,-118.38333,33.166668,,4,NA,16.995,15.840000000000002
1951-07-06T16:06:00Z,-117.933334,33.4,,1,NA,18.14,18.14
1951-07-08T03:50:00Z,-119.183334,33.95,,4,NA,15.819999999999999,14.837500000000002
1951-07-10T20:26:00Z,-118.416664,32.4,,4,NA,16.77,15.615
1951-07-11T07:21:00Z,-117.525,32.833332,,4,NA,17.66,16.5275
1951-07-12T00:19:00Z,-117.28333,32.191666,,4,NA,16.255000000000003,15.2925
1951-07-12T05:45:00Z,-117.816666,31.933332,,5,NA,15.71,14.924
1951-07-12T12:46:00Z,-118.416664,31.65,,4,NA,15.754999999999999,15.162500000000001
1951-07-12T20:10:00Z,-119.083336,31.316668,,4,NA,15.505,14.6925
1951-07-15T13:56:00Z,-118.816666,30.716667,,5,NA,15.846666666666668,15.352
1951-07-15T21:07:00Z,-118.1,31.016666,,4,NA,NA,NA
1951-07-16T05:16:00Z,-117.45,31.35,,3,NA,NA,NA
1951-07-31T23:42:00Z,-120.566666,34.45,,11,NA,NA,NA
1951-08-01T05:20:00Z,-120.8,34.325,,5,NA,NA,NA
1951-08-01T09:26:00Z,-121.14167,34.15,,5,NA,15.063333333333333,14.304
1951-08-02T11:35:00Z,-114.708336,27.383333,,6,18.58,17.88,17.014999999999997
1951-08-02T14:21:00Z,-114.925,27.266666,,4,NA,NA,NA
1951-08-02T15:50:00Z,-120.64167,33.208332,,4,NA,15.675,14.729999999999999
1951-08-02T19:56:00Z,-115.5,27.066668,,4,NA,19.745,18.5775
1951-08-02T22:06:00Z,-119.85833,33.613335,,8,17.2,15.325000000000001,12.70625
1951-08-03T02:36:00Z,-116.15,26.65,,4,NA,NA,NA
1951-08-03T03:11:00Z,-119.15833,33.941666,,5,NA,17.73,16.678
1951-08-03T04:58:00Z,-119.041664,34.025,,6,NA,13.345,11.966666666666667
1951-08-03T08:11:00Z,-118.61667,33.833332,,3,NA,14.24,13.976666666666668
1951-08-03T09:01:00Z,-115.78333,26.066668,,4,NA,20.439999999999998,19.439999999999998
1951-08-03T14:46:00Z,-117.775,33.466667,,7,19.11,17.063333333333333,14.850000000000001
1951-08-03T15:15:00Z,-115.13333,26.391666,,4,NA,20.615,19.2275
1951-08-03T16:40:00Z,-117.916664,33.325,,4,NA,16.545,15.635
1951-08-03T21:55:00Z,-114.49167,26.733334,,4,NA,19.805,18.485
1951-08-04T01:23:00Z,-120.86667,35.073334,,7,11.749999999999998,11.846666666666666,11.42
1951-08-04T02:28:00Z,-114.105,26.925,,1,NA,23.7,23.7
1951-08-04T04:51:00Z,-121.21667,34.908333,,4,NA,13.895,13.285
1951-08-04T19:25:00Z,-118.425,33.183334,,4,NA,17.865,16.5475
1951-08-04T20:24:00Z,-113.486664,26.491667,,6,24.84,23.306666666666665,21.381666666666668
1951-08-05T00:24:00Z,-118.93,32.9,,4,NA,17.279999999999998,16.884999999999998
1951-08-05T04:44:00Z,-119.46667,32.633335,,5,NA,17.293333333333333,15.991999999999999
1951-08-05T08:57:00Z,-119.916664,32.425,,5,NA,15.703333333333333,14.787999999999998
1951-08-05T11:20:00Z,-114.75833,25.816668,,5,NA,20.61,19.396
1951-08-05T17:26:00Z,-115.433334,25.466667,,4,NA,21.18,19.6825
1951-08-06T01:16:00Z,-114.4,25.241667,,4,NA,20.98,19.5225
1951-08-06T07:41:00Z,-113.933334,25.583334,,5,NA,21.140000000000004,20.087999999999997
1951-08-06T13:36:00Z,-113.46667,25.883333,,4,NA,20.86,19.5275
1951-08-06T19:38:00Z,-112.8,26.075,,6,NA,NA,NA
1951-08-07T06:57:00Z,-119.525,31.758333,,5,NA,NA,NA
1951-08-07T12:11:00Z,-118.833336,32.05,,5,NA,17.273333333333333,16.306
1951-08-07T14:28:00Z,-112.308334,25.583334,,6,26.530000000000005,25.980000000000004,24.333333333333336
1951-08-07T18:46:00Z,-112.76667,25.35,,5,NA,25.73333333333333,24.31
1951-08-07T18:50:00Z,-118.15,32.525,,5,NA,NA,NA
1951-08-07T23:16:00Z,-117.50833,32.825,,5,NA,18.736666666666668,17.566
1951-08-08T01:01:00Z,-113.38333,25.05,,4,NA,20.59,19.415
1951-08-08T02:13:00Z,-117.28333,32.933334,,6,19.35,16.860000000000003,13.406666666666666
1951-08-08T06:38:00Z,-117.15,32.253334,,5,16.44,14.12666666666667,12.991999999999999
1951-08-08T07:11:00Z,-114.03333,24.666666,,4,NA,21.94,20.4425
1951-08-08T08:56:00Z,-117.28333,32.191666,,5,NA,16.96,16.041999999999998
1951-08-08T13:26:00Z,-117.833336,31.925,,4,NA,17.795,16.7525
1951-08-08T19:40:00Z,-118.50833,31.591667,,4,NA,17.439999999999998,16.4325
1951-08-09T03:41:00Z,-119.175,31.258333,,4,NA,NA,NA
